#TYPE Selected.Microsoft.WinGet.Client.Engine.PSObjects.PSInstalledCatalogPackage
"Name","Id"
"Raw Image Extension","MSIX\Microsoft.RawImageExtension_2.5.7.0_x64__8wekyb3d8bbwe"
"Knipprogramma","MSIX\Microsoft.ScreenSketch_11.2511.47.0_x64__8wekyb3d8bbwe"
"Windows-beveiliging","MSIX\Microsoft.SecHealthUI_1000.29510.1001.0_x64__8wekyb3d8bbwe"
"Microsoft Engagement Framework","MSIX\Microsoft.Services.Store.Engagement_10.0.23012.0_x64__8wekyb3d8bbwe"
"Microsoft Engagement Framework","MSIX\Microsoft.Services.Store.Engagement_10.0.23012.0_x86__8wekyb3d8bbwe"
"Start Experiences-app","MSIX\Microsoft.StartExperiencesApp_1.229.1.0_x64__8wekyb3d8bbwe"
"Store Experience Host","MSIX\Microsoft.StorePurchaseApp_22512.1401.1.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml","Microsoft.UI.Xaml.2.7"
"Microsoft.UI.Xaml","Microsoft.UI.Xaml.2.8"
"Microsoft Visual C++ 2015 UWP Desktop Runtime Package","Microsoft.VCLibs.Desktop.14"
"Microsoft Visual C++ 2015 UWP Runtime Package","MSIX\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe"
"Microsoft Visual C++ 2015 UWP Runtime Package","MSIX\Microsoft.VCLibs.140.00_14.0.33519.0_x86__8wekyb3d8bbwe"
"Uitbreidingen voor VP9-video","MSIX\Microsoft.VP9VideoExtensions_1.2.12.0_x64__8wekyb3d8bbwe"
"Media-uitbreidingen voor het web","MSIX\Microsoft.WebMediaExtensions_1.2.17.0_x64__8wekyb3d8bbwe"
"WebP afbeeldingextensie","MSIX\Microsoft.WebpImageExtension_1.2.14.0_x64__8wekyb3d8bbwe"
"Microsoft Whiteboard","MSIX\Microsoft.Whiteboard_56.20201.588.0_x64__8wekyb3d8bbwe"
"Widgets Platform Runtime","MSIX\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe"
"Windows Advanced Settings","MSIX\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe"
"Microsoft Foto's","MSIX\Microsoft.Windows.Photos_2025.11120.5001.0_x64__8wekyb3d8bbwe"
"Windows-klok","MSIX\Microsoft.WindowsAlarms_11.2512.0.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.5","MSIX\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.5","MSIX\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x86__8wekyb3d8bbwe"
"WindowsAppRuntime.1.6","MSIX\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.6","MSIX\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe"
"WindowsAppRuntime.1.7","MSIX\Microsoft.WindowsAppRuntime.1.7_7000.770.750.0_x64__8wekyb3d8bbwe"
"WindowsAppRuntime.1.7","MSIX\Microsoft.WindowsAppRuntime.1.7_7000.770.750.0_x86__8wekyb3d8bbwe"
