#TYPE Selected.Microsoft.WinGet.Client.Engine.PSObjects.PSInstalledCatalogPackage
"Name","Id"
"Mixed Reality-portal","MSIX\Microsoft.MixedReality.Portal_2000.21051.1282.0_x64__8wekyb3d8bbwe"
"Microsoft .Net Native Framework Package 1.7","MSIX\Microsoft.NET.Native.Framework.1.7_1.7.27413.0_x64__8wekyb3d8bbwe"
"Microsoft .Net Native Framework Package 1.7","MSIX\Microsoft.NET.Native.Framework.1.7_1.7.27413.0_x86__8wekyb3d8bbwe"
"Microsoft .Net Native Framework Package 2.2","MSIX\Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe"
"Microsoft .Net Native Framework Package 2.2","MSIX\Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x86__8wekyb3d8bbwe"
"Microsoft .Net Native Runtime Package 1.7","MSIX\Microsoft.NET.Native.Runtime.1.7_1.7.27422.0_x64__8wekyb3d8bbwe"
"Microsoft .Net Native Runtime Package 1.7","MSIX\Microsoft.NET.Native.Runtime.1.7_1.7.27422.0_x86__8wekyb3d8bbwe"
"Microsoft .Net Native Runtime Package 2.2","MSIX\Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe"
"Microsoft .Net Native Runtime Package 2.2","MSIX\Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x86__8wekyb3d8bbwe"
"Microsoft.Office.ActionsServer","MSIX\Microsoft.Office.ActionsServer_16.0.19426.20218_neutral__8wekyb3d8bbwe"
"OneNote for Windows 10","MSIX\Microsoft.Office.OneNote_16001.14326.22594.0_x64__8wekyb3d8bbwe"
"OfficePushNotificationsUtility","MSIX\Microsoft.OfficePushNotificationUtility_16.0.19426.20218_neutral__8wekyb3d8bbwe"
"OneDrive","MSIX\Microsoft.OneDriveSync_26026.209.4.0_neutral__8wekyb3d8bbwe"
"Outlook for Windows","MSIX\Microsoft.OutlookForWindows_1.2025.1209.500_x64__8wekyb3d8bbwe"
"Paint","MSIX\Microsoft.Paint_11.2511.291.0_x64__8wekyb3d8bbwe"
"Microsoft Personen","MSIX\Microsoft.People_10.2202.100.0_x64__8wekyb3d8bbwe"
"Power Automate","MSIX\Microsoft.PowerAutomateDesktop_1.0.2062.0_x64__8wekyb3d8bbwe"
"Print 3D","MSIX\Microsoft.Print3D_3.3.791.0_x64__8wekyb3d8bbwe"
"Raw Image Extension","MSIX\Microsoft.RawImageExtension_2.5.7.0_x64__8wekyb3d8bbwe"
"Knipprogramma","MSIX\Microsoft.ScreenSketch_11.2510.31.0_x64__8wekyb3d8bbwe"
"Windows-beveiliging","MSIX\Microsoft.SecHealthUI_1000.29510.1001.0_x64__8wekyb3d8bbwe"
